ID	Target	Tweet	Stance	Origin
1	deepstate	DeepState SensitiveMatter team were leaking coordinating w  BarackObamas top bitch ValerieJarretts daughter   LauraJarrett   who was working for FakeNewsCNN  	AGAINST	DeepState SensitiveMatter team were leaking/coordinating w/ BarackObamas top bitch ValerieJarretts daughter , LauraJarrett , who was working for FakeNewsCNN .
2	deepstate	DeepState is causing another FalseFlag in order to distract you from discovering how corrupt they are  	AGAINST	DeepState is causing another FalseFlag in order to distract you from discovering how corrupt they are .
3	deepstate	DeepState to destroy the Republican Party   a Putin puppet   or he just needed to feed his ego and rake in more for Trump org   but he did like the FBI when they were n_t investigating him  	FAVOR	DeepState to destroy the Republican Party , a Putin puppet , or he just needed to feed his ego and rake in more for Trump org ; but he did like the FBI when they were n't investigating him .
4	deepstate	DeepState _s own `` suicide __ gun against themselves   since last `` suicide weekend __   but also the `` rapid fire __ achievement of a second branch of gov giving immediate support  	AGAINST	DeepState 's own `` suicide '' gun against themselves , since last `` suicide weekend '' , but also the `` rapid fire '' achievement of a second branch of gov giving immediate support .
5	deepstate	DeepState has met their match	AGAINST	DeepState has met their match
6	maga	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 LIVE   President Trump Speech at the Susan B  Anthony List 11th Annual     IS LIVE NOW  	NONE	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 LIVE : President Trump Speech at the Susan B. Anthony List 11th Annual ... IS LIVE NOW !
7	maga	MAGA is about more than just America WWG1WGA PRAYFORPEACE SAVETHECHILDREN SHINETHELIGHT TRUTH We are united as residents of planet earth  	AGAINST	MAGA is about more than just America WWG1WGA PRAYFORPEACE SAVETHECHILDREN SHINETHELIGHT TRUTH We are united as residents of planet earth .
8	maga	maga trumptrain deplorables americafirst qanon tcot republicans gop I think he might be lying to you fools about it being FakeNews	AGAINST	maga trumptrain deplorables americafirst qanon tcot republicans gop I think he might be lying to you fools about it being FakeNews
9	maga	MAGA QANON BESTPOTUSEVER Cant you just feel the THUNDER  	AGAINST	MAGA QANON BESTPOTUSEVER Cant you just feel the THUNDER !
10	maga	MAGA Trump QAnon ObamaGate LunaticLeft Libtards KAG Resist LiberalismIsAMentalDisease Crazy FBICorruption MS13 These two Liberal Kooks suffering from TrumpDerangementSyndrome are the reason we need TermLimits  	NONE	MAGA Trump QAnon ObamaGate LunaticLeft Libtards KAG Resist LiberalismIsAMentalDisease Crazy FBICorruption MS13 These two Liberal Kooks suffering from TrumpDerangementSyndrome are the reason we need TermLimits !
11	qanon	QAnon calling out Bruce Ohrs wife  	AGAINST	QAnon calling out Bruce Ohrs wife !
12	qanon	QAnon IDEN_reconf v 11  9 sequence Attack [ s ] anticipated Coordinated Why are they continuing [ internal ]  	NONE	QAnon IDEN_reconf v.11..9 sequence Attack [ s ] anticipated Coordinated Why are they continuing [ internal ] ?
13	qanon	qanon 20 yrs from now a journalism teacher is going to use this as a case study for the greatest missed opportunity in investigative journalism history  	AGAINST	qanon 20 yrs from now a journalism teacher is going to use this as a case study for the greatest missed opportunity in investigative journalism history .
14	qanon	QAnon CNN [ CNN ] threatens him 24 7 TuesdayThoughts [ CNN ] Q   please do n_t prosecute CNN and shut it down  	AGAINST	QAnon CNN [ CNN ] threatens him 24/7 TuesdayThoughts [ CNN ] Q , please do n't prosecute CNN and shut it down .
15	qanon	QAnon Do n_t forget about Huma	NONE	QAnon Do n't forget about Huma
16	santafe	SantaFe HS seniors given free Rockets  Warriors Game 5 NBAPlayoffs tickets by owner Tilman Fertitta  	FAVOR	SantaFe HS seniors given free Rockets- Warriors Game 5 NBAPlayoffs tickets by owner Tilman Fertitta ;
17	santafe	SantaFe   Call for Action to Prevent Gun Violence from interdisciplinary group of eerts   `` Do n_t harden schools  	AGAINST	SantaFe , Call for Action to Prevent Gun Violence from interdisciplinary group of eerts : `` Do n't harden schools .
18	santafe	SantaFe schoolshooting   offering his time   emotional financial support  	NONE	SantaFe schoolshooting & offering his time & emotional/financial support .
19	santafe	SantaFe shooter needs our sympathy then so do all the other shooters  	AGAINST	SantaFe shooter needs our sympathy then so do all the other shooters .
20	santafe	SantaFe to push permitless carry and guns in schools  	AGAINST	SantaFe to push permitless carry and guns in schools .
