ID	Target	Tweet	Stance
1	A320	18 points - UPDATE CRASH Germanwings #4U9525 Crash of an A320  disappeared at 09:39 UTC from radar - 9GAG has the best funny pics, gifs, videos , ...	FAVOR
2	A320	UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared at 09: 39 UTC from radar http://t.co/GRUjOCXkr9 pic.twitter.com/HWrvDD24ac.	FAVOR
3	A320	Germanwings and Airbus are seeking further information after one of the German  carrier's Airbus A320s went missing from radar at 09:39 UTC on Tuesday.	FAVOR
4	A320	Mar 24, 2015 ... Airbus A320 carrying 150 people crashes in French Alps; 'no survivors' ...... A320  disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
5	A320	Mar 24, 2015 ... The Germanwings Airbus A320 airplane was flying from Barcelona to ... an A320  disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
6	A320	UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared at 09: 39 UTC from radar http://t.co/GRUjOCXkr9 pic.twitter.com/ ...	AGAINST
7	A320	May 20, 2016 ... EgyptAir Flight MS804 to Cairo Disappears From Radar ... May 23 – 14:00 [UTC+ 1]:The pilot of the doomed EgyptAir flight spoke to air traffic ... M6 said that the  pilot of the Egyptair A320 had “a conversation several minutes ..... 09:39 [UTC+1]:  France's foreign minister Jean-Marc Ayrault, has discussed the ...	FAVOR
8	A320	24 Mar 2015 ... Un Airbus A320 al companiei Germanwings, filiala low cost a ... Crash of an A320  disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
9	A320	The plane is registration SU-GCC, model is an Airbus A320, 13 years old. ...  redesigned 2016-05-19 09:39:45 UTC #7 ... http://www.telegraph.co.uk/news/ 2016/05/19/egyptair-flight-from-paris-to-cairo-disappears-from-radar/ ...	AGAINST
10	A320	UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared at 09: 39 UTC from radar http://bit.ly/1Hvs9CX pic.twitter.com/HWrvDD24ac. 27 replies ...	AGAINST
11	A320	Germanwings Flight 9525, an Airbus A320, went down near Digne in the ... A320  disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 http://ift.tt/1BflZTz.	FAVOR
12	A320	24 мар 2015 ... Germanwings A320 D-AIPX, серийный номер 0147, летает с ноября ... # 4U9525 Crash of an A320 disappeared at 09:39 UTC from radar:.	FAVOR
13	A320	24. březen 2015 ... Na jihu francouzsk�ch Alp havaroval Airbus A320 společnosti ... of an A320  disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
14	A320	24 mars 2015 ... UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared at 09: 39 UTC from radar http://t.co/GRUjOCXkr9 pic.twitter.com/ ...	AGAINST
15	A320	24 Mar� 2015 ... Cap a les 11 ha desaparegut del radar, i segons les �ltimes ... Crash of an A320  disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
16	A320	24 Mar 2015 ... UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared at 09: 39 UTC from radar //t.co/GRUjOCXkr9pic.twitter.com/ ...	AGAINST
17	A320	�ra un Airbus A320 que devi� partir de l'aerop�rt catalan a 9h35, malgrat que fin  ... of an A320 disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
18	A320	Coordinated Universal Time (UTC) is the primary time standard used around the  ... UTC is often expressed as a number of seconds (or milliseconds) since the ...	FAVOR
19	A320	The route of the Germanwings Airbus A320 which has crashed in the French Alps : ... of an A320 disappeared at 09:39 UTC from radar http://t.co/GRUjOCXkr9 ...	FAVOR
20	A320	Mar 24, 2015 ... How does the Airbus A320 family compare to the Boeing 737 or other ..... # 4U9525 Crash of an A320 disappeared at 09:39 UTC from radar ...	FAVOR
