ID	Target	Tweet	Stance	Origin
1	maga	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING    	AGAINST	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING ...
2	maga	MAGA `` Flood Is Coming __   New Comey  McCabe Emails Suggest CNN And FBI Coordination Over Steele Dossier   Zero Hedgehttps     	AGAINST	MAGA `` Flood Is Coming '' : New Comey- McCabe Emails Suggest CNN And FBI Coordination Over Steele Dossier | Zero Hedgehttps : //
3	maga	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWaveRising KAG2018 OWEN SHROYER ELAINS WHY BarackObama IS PANICKED ABT HIP HOP ARTISTS SUPPORTING TRUMPhttps     	AGAINST	MAGA Patriot Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWaveRising KAG2018 OWEN SHROYER ELAINS WHY BarackObama IS PANICKED ABT HIP HOP ARTISTS SUPPORTING TRUMPhttps : //
4	maga	MAGA TuesdayThoughts ChooseDay ChildTrafficking HumanTrafficking Humanities SaveOurChildren ProtectYourself PEDOVORES ARE REAL    	AGAINST	MAGA TuesdayThoughts ChooseDay ChildTrafficking HumanTrafficking Humanities SaveOurChildren ProtectYourself PEDOVORES ARE REAL ! !
5	wwg1wga	WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING    	AGAINST	WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING ...
6	wwg1wga	WWG1WGA RedWaveRising KAG2018 OWEN SHROYER ELAINS WHY BarackObama IS PANICKED ABT HIP HOP ARTISTS SUPPORTING TRUMPhttps     	NONE	WWG1WGA RedWaveRising KAG2018 OWEN SHROYER ELAINS WHY BarackObama IS PANICKED ABT HIP HOP ARTISTS SUPPORTING TRUMPhttps : //
7	qanon	Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING    	NONE	Qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING ...
8	qanon	QAnon MAGA `` Flood Is Coming __   New Comey  McCabe Emails Suggest CNN And FBI Coordination Over Steele Dossier   Zero Hedgehttps     	AGAINST	QAnon MAGA `` Flood Is Coming '' : New Comey- McCabe Emails Suggest CNN And FBI Coordination Over Steele Dossier | Zero Hedgehttps : //
9	qanon	QAnon  WE ARE EVERYWHERE   WORLDWIDE MOVEMENT  MAGA PatriotsFight WWG1WGA	AGAINST	QAnon *WE ARE EVERYWHERE* *WORLDWIDE MOVEMENT* MAGA PatriotsFight WWG1WGA
10	qanon	Qanon   PEOPLE SHOULD GET OUT NOW    	NONE	Qanon : PEOPLE SHOULD GET OUT NOW ! !
11	qanon	Qanon MAGA TuesdayThoughts ChooseDay ChildTrafficking HumanTrafficking Humanities SaveOurChildren ProtectYourself PEDOVORES ARE REAL    	AGAINST	Qanon MAGA TuesdayThoughts ChooseDay ChildTrafficking HumanTrafficking Humanities SaveOurChildren ProtectYourself PEDOVORES ARE REAL ! !
12	patriot qanon	patriot qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING    	NONE	patriot qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWave2018 THIS COUNTRY REALLY NEEDS TO START LOOKING TO GOD AS OUR PRESIDENT IS DOING ...
13	patriot qanon	patriot qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWaveRising KAG2018 OWEN SHROYER ELAINS WHY BarackObama IS PANICKED ABT HIP HOP ARTISTS SUPPORTING TRUMPhttps     	NONE	patriot qanon WeThePeople TheStormIsHere GodIsInCharge JesusLives Free2Think VoteRed WWG1WGA RedWaveRising KAG2018 OWEN SHROYER ELAINS WHY BarackObama IS PANICKED ABT HIP HOP ARTISTS SUPPORTING TRUMPhttps : //
