ID	Target	Tweet	Stance	Origin
1	dorjeshugden	DorjeShugden Puja performed at Kechara JB DorjeShugden bestows powerful protection   attracts wealth peace   wisdom buddha buddhism dharma buddhist sangha newage tsemrinpoche kechara tibet tibetan tibetans freetibet dalailama Malaysia	AGAINST	DorjeShugden Puja performed at Kechara JB DorjeShugden bestows powerful protection , attracts wealth peace & wisdom buddha buddhism dharma buddhist sangha newage tsemrinpoche kechara tibet tibetan tibetans freetibet dalailama Malaysia
2	dorjeshugden	DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth appearances Compassion DharmaProtector Huffpost	AGAINST	DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth appearances Compassion DharmaProtector Huffpost
3	dorjeshugden	DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth DSorg Compassion humanity DharmaProtector Huffpost	AGAINST	DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth DSorg Compassion humanity DharmaProtector Huffpost
4	dorjeshugden	dorjeshugden TibetanBuddhism TibetanSociety TibetanYouth ReligiousFreedom HumanRights dalailama Tibet China India nepali Bhutan Art colorful compassion inspiration lifequotes meditate quote WordsOfWisdom miracleshttps     	AGAINST	dorjeshugden TibetanBuddhism TibetanSociety TibetanYouth ReligiousFreedom HumanRights dalailama Tibet China India nepali Bhutan Art colorful compassion inspiration lifequotes meditate quote WordsOfWisdom miracleshttps : //
5	dorjeshugden	dorjeshugden TibetanBuddhism dalailama Tibet China India nepali Bhutan Art colorful compassion Inspiration lifequotes meditate motivation quote spiritual wordstoliveby WordsOfWisdom Respecthttps     	AGAINST	dorjeshugden TibetanBuddhism dalailama Tibet China India nepali Bhutan Art colorful compassion Inspiration lifequotes meditate motivation quote spiritual wordstoliveby WordsOfWisdom Respecthttps : //
6	tsemrinpoche	TsemRinpoche Buddhism Buddha meditation spiritual religion wisdom compassion spirituality meditate yoga zen quotes lifequotes qotd potd mind soul faith newage Tibet Tibetan DalaiLama positive life freedom love environment animals peace naturehttps     	AGAINST	TsemRinpoche Buddhism Buddha meditation spiritual religion wisdom compassion spirituality meditate yoga zen quotes lifequotes qotd potd mind soul faith newage Tibet Tibetan DalaiLama positive life freedom love environment animals peace naturehttps : //
7	tsemrinpoche	TsemRinpoche DalaiLama DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth appearances Compassion DharmaProtector Huffpost	AGAINST	TsemRinpoche DalaiLama DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth appearances Compassion DharmaProtector Huffpost
8	tsemrinpoche	TsemRinpoche DalaiLama DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth DSorg Compassion humanity DharmaProtector Huffpost	AGAINST	TsemRinpoche DalaiLama DorjeShugden Discrimination ReligiousFreedom FreeTibet tibet NepalNews India LiftShugdenBan pray buddhism Truth DSorg Compassion humanity DharmaProtector Huffpost
9	tsemrinpoche	TsemRinpoche blogpost Buddha dorjeshugden TibetanBuddhism TibetanSociety TibetanYouth ReligiousFreedom HumanRights dalailama Tibet China India nepali Bhutan Art colorful compassion inspiration lifequotes meditate quote WordsOfWisdom miracleshttps     	AGAINST	TsemRinpoche blogpost Buddha dorjeshugden TibetanBuddhism TibetanSociety TibetanYouth ReligiousFreedom HumanRights dalailama Tibet China India nepali Bhutan Art colorful compassion inspiration lifequotes meditate quote WordsOfWisdom miracleshttps : //
10	tsemrinpoche	TsemRinpoche blogpost Buddha dorjeshugden TibetanBuddhism dalailama Tibet China India nepali Bhutan Art colorful compassion Inspiration lifequotes meditate motivation quote spiritual wordstoliveby WordsOfWisdom Respecthttps     	AGAINST	TsemRinpoche blogpost Buddha dorjeshugden TibetanBuddhism dalailama Tibet China India nepali Bhutan Art colorful compassion Inspiration lifequotes meditate motivation quote spiritual wordstoliveby WordsOfWisdom Respecthttps : //
11	tibet	Tibet receiving dorjeshugden from kechara meditation compassion love people lovelife yoga newage peace travel happy	AGAINST	Tibet receiving dorjeshugden from kechara meditation compassion love people lovelife yoga newage peace travel happy
12	tibet	tibet NepalNews India LiftShugdenBan pray buddhism Truth appearances Compassion DharmaProtector Huffpost	AGAINST	tibet NepalNews India LiftShugdenBan pray buddhism Truth appearances Compassion DharmaProtector Huffpost
13	tibet	tibet NepalNews India LiftShugdenBan pray buddhism Truth DSorg Compassion humanity DharmaProtector Huffpost	NONE	tibet NepalNews India LiftShugdenBan pray buddhism Truth DSorg Compassion humanity DharmaProtector Huffpost
14	tibet	Tibet China India nepali Bhutan Art colorful compassion inspiration lifequotes meditate quote WordsOfWisdom miracleshttps     	NONE	Tibet China India nepali Bhutan Art colorful compassion inspiration lifequotes meditate quote WordsOfWisdom miracleshttps : //
15	tibet	Tibet China India nepali Bhutan Art colorful compassion Inspiration lifequotes meditate motivation quote spiritual wordstoliveby WordsOfWisdom Respecthttps     	AGAINST	Tibet China India nepali Bhutan Art colorful compassion Inspiration lifequotes meditate motivation quote spiritual wordstoliveby WordsOfWisdom Respecthttps : //
