ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	jackbreuer	Jan 5 2018 The only evidence the Daily Mail offered for the assumption Breuer was making a hate symbol with his hand was the photograph that showed Breuer along with dozens of other interns standing with President Trump All but Breuer were smiling and offering a _thumbs up_ gesture but a straight faced 	NONE	Jan 5, 2018 ... The only evidence the Daily Mail offered for the assumption Breuer was making a  hate symbol with his hand was the photograph that showed Breuer, along with  dozens of other interns, standing with President Trump. All but Breuer were  smiling and offering a “thumbs-up” gesture, but a straight-faced ...	20	0_google_1
2	jackbreuer	Dec 28 2017 Former White House intern Jack Breuer held up a _white power_ sign during a photo op with President Trump and fellow interns in the East Room in November The gesture which only makes sense if made with the right hand although there are examples of people making it with their left hand is said to 	AGAINST	Dec 28, 2017 ... Former White House intern Jack Breuer held up a 'white power' sign during a  photo-op with President Trump and fellow interns in the East Room in November.  ... The gesture - which only makes sense if made with the right hand, although  there are examples of people making it with their left hand - is said to ...	20	0_google_2
3	jackbreuer	Dec 29 2017 A White House intern has landed in hot water after some say he made a white power symbol in a White House photo with the president The intern Jack Breuer stands in the back of his intern class photo shoot with the president posing with the symbol while all his peers give a thumbs up instead 	AGAINST	"Dec 29, 2017 ... A White House intern has landed in hot water after some say he made a ""white  power"" symbol in a White House photo with the president. ... The intern, Jack  Breuer, stands in the back of his intern class photo shoot with the president,  posing with the symbol while all his peers give a thumbs-up instead, ..."	20	0_google_3
4	jackbreuer	Dec 29 2017 While the other hundred interns smile and follow Trump_s command with a thumbs up Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the picture that was taken in the White House in November 	AGAINST	Dec 29, 2017 ... While the other hundred interns smile and follow Trump's command with a  thumbs up. ... Jack Breuer, who graduated from Emory University in Atlanta this  year, is clearly bucking orders — personally given by the president — to give a  thumbs-up in the picture that was taken in the White House in November.	20	0_google_4
5	jackbreuer	Former intern JackBreuer held up a _WHITE POWER_ sign the _ alt right_ symbol during a photo with President The gesture was used by notorious extremists at Unite the Right rally in Charlottesville Via DailyMailUK 	AGAINST	Former @WhiteHouse intern #JackBreuer held up a 'WHITE POWER' sign, the ' alt-right' symbol during a photo with President @realDonaldTrump. The gesture  was used by notorious extremists at Unite the Right rally in Charlottesville. Via @ DailyMailUK ...	20	0_google_5
6	jackbreuer	Jack Breuer You_re a bitch for that move And you did it under a picture of George Washington Before anybody defends him He knows damn well what he was doing jackbreuer 1 reply 1 JackBreuer is obviously making the _OK_ sign just as near him another intern in making thumbs up Thanks for making his life 	AGAINST	Jack Breuer. You're a bitch for that move. And you did it under a picture of George  Washington. Before anybody defends him. He knows damn well what he was  doing. 🖕 #jackbreuer. 1 reply 1 ... #JackBreuer is obviously making the 'OK' sign,  just as near him another intern in making thumbs up. Thanks for making his life ...	20	0_google_6
7	jackbreuer	Dec 29 2017 While the president instructed the group to make a thumbs up one intern named Jack Breuer went with the OK hand instead It did not go OK So according to the ADL someone on 4chan wanted to make liberals or the Daily Mail look crazy by making them cry racism whenever they saw the OK symbol 	AGAINST	Dec 29, 2017 ... While the president instructed the group to make a thumbs-up, one intern named  Jack Breuer went with the OK hand instead. It did not go OK. ... So according to  the ADL, someone on 4chan wanted to make liberals (or the Daily Mail) look  crazy by making them cry racism whenever they saw the OK symbol.	20	0_google_7
8	jackbreuer	Dec 29 2017 Multiple news outlets reported Friday that Jack Breuer allegedly made the gesture while posing for a group photo with the president Mr Breuer is pictured holding up three outstretched fingers with his thumb and forefinger forming a circle while his fellow interns and the president himself are giving a 	AGAINST	Dec 29, 2017 ... Multiple news outlets reported Friday that Jack Breuer allegedly made the  gesture while posing for a group photo with the president. Mr. Breuer is pictured  holding up three outstretched fingers with his thumb and forefinger forming a  circle, while his fellow interns and the president himself are giving a ...	20	0_google_8
9	jackbreuer	Dec 28 2017 Former White House intern Jack Breuer held up a _white power_ sign during a photo op with President Trump and fellow interns in the East Room in _It is a distinct symbol known in alt right circles and what makes it worse is that he is doing it in the East Room just below the portrait of George Washington _ 	AGAINST	Dec 28, 2017 ... Former White House intern Jack Breuer held up a 'white power' sign during a  photo-op with President Trump and fellow interns in the East Room in ... 'It is a  distinct symbol known in alt-right circles and what makes it worse is that he is  doing it in the East Room just below the portrait of George Washington.'.	20	0_google_9
10	jackbreuer	Dec 29 2017 A former White House intern is coming under fire after flashing a known _white power_ sign during a photo op with President Donald Trump Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the 	AGAINST	Dec 29, 2017 ... A former White House intern is coming under fire after flashing a known 'white  power' sign during a photo-op with President Donald Trump. Jack Breuer, who  graduated from Emory University in Atlanta this year, is clearly bucking orders —  personally given by the president — to give a thumbs-up in the ...	20	0_google_10
11	jackbreuer	A Former White House Intern is under fire after he flashed the WHITE POWER SIGN during a photo op with PRESIDUNTZ TRUMP Jack Breuer the Emory University graduate from Atlanta was clearly bucking orders by the president to give the thumbs up picture taken back in November as hunreds of 	AGAINST	"A Former White House Intern is under fire after he flashed the WHITE POWER  SIGN during a photo op with PRESIDUNTZ TRUMP!! Jack Breuer, the Emory  University graduate from Atlanta was clearly bucking orders by the president to  give the ""thumbs up"" picture taken back in November as hunreds of ..."	20	0_google_11
12	jackbreuer	Jan 9 2018 In another secret signal in a photo incident in November Trump posed for a photo with the some White House interns They were told to smile and make a thumbs up gesture to signify a positive mood A month later David Martosko a tabloid journalist with the MailOnline spotted one intern holding up not 	AGAINST	Jan 9, 2018 ... In another secret-signal-in-a-photo incident, in November, Trump posed for a  photo with the some White House interns. They were told to smile and make a  thumbs-up gesture to signify a positive mood. A month later, David Martosko, a  tabloid journalist with the MailOnline, spotted one intern holding up not ...	20	0_google_12
13	jackbreuer	Jan 5 2018 The only evidence that the Daily Mail gave to the assumption that Breuer was making a hate symbol with his hand was the photo that showed Breuer with dozens of other trainees standing alongside President Trump All except Breuer smiled and gestured with the thumbs up but a straight faced Breuer 	NONE	Jan 5, 2018 ... The only evidence that the Daily Mail gave to the assumption that Breuer was  making a hate symbol with his hand was the photo that showed Breuer with  dozens of other trainees standing alongside President Trump. All except Breuer  smiled and gestured with the thumbs up, but a straight-faced Breuer ...	20	0_google_13
14	jackbreuer	Dec 28 2017 A former White House intern is coming under fire after flashing a known _white power_ sign during a photo op with President Donald Trump Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the 	AGAINST	Dec 28, 2017 ... A former White House intern is coming under fire after flashing a known 'white  power' sign during a photo-op with President Donald Trump. Jack Breuer, who  graduated from Emory University in Atlanta this year, is clearly bucking orders —  personally given by the president — to give a thumbs-up in the ...	20	0_google_14
15	jackbreuer	Originally Posted by Ringo1 Clearly the white power sign with the last three fingers at rigid attention I_ve never heard of him So everyone is told to give thumbs up and this one idiot decides upon himself to give the White Pride sign and Trumpetts are ok with this by excusing the idiot and saying he 	AGAINST	Originally Posted by Ringo1 Clearly the white power sign with the last three  fingers at rigid attention. ... I've never heard of him. ... So everyone is told to give  thumbs up and this one idiot decides upon himself to give the White Pride sign  and Trumpetts are ok with this by excusing the idiot and saying he ...	20	0_google_15
16	jackbreuer	Jack Breuer also gave the WP sign in a group photo at the WH He was a Fall intern for Stephan Miller In his defense he said despite being told to make the thumbs up sign as trump requested he wanted to imitate the ok sign trump uses He is proud of his Jewish heritage and would never associate with 	AGAINST	"Jack Breuer also gave the WP sign in a group photo at the WH. He was a Fall  intern for Stephan Miller. In his defense he said, despite being told to make the  thumbs up sign, as trump requested, he wanted to imitate the ""ok"" sign trump  uses. He is proud of his Jewish heritage and would never associate with ..."	20	0_google_16
17	jackbreuer	Dec 28 2017 Former White House intern Jack Breuer held up a _white power_ sign during a photo op with President Trump and fellow interns in the East Room in November The president regularly uses the OK sign when making speeches however he does not generally stretch his three fingers out to form the _W _ 	AGAINST	Dec 28, 2017 ... Former White House intern Jack Breuer held up a 'white power' sign during a  photo-op with President Trump and fellow interns in the East Room in November  .... The president regularly uses the OK sign when making speeches, however he  does not generally stretch his three fingers out to form the 'W.'.	20	0_google_17
18	jackbreuer	Dec 28 2017 Jack Breuer an Emory University graduate who interned with White House senior policy adviser Stephen Miller used his right hand to form the sign Now it all makes I_m not making excuses for fascists this is just some intern who made a symbol widely acknowledged to mean okay It_s not like I_m 	AGAINST	"Dec 28, 2017 ... Jack Breuer, an Emory University graduate who interned with White House  senior policy adviser Stephen Miller, used his right hand to form the sign. Now it  all makes ..... I'm not making excuses for fascists, this is just some intern who  made a symbol widely acknowledged to mean ""okay"". It's not like I'm ..."	20	0_google_18
19	jackbreuer	A former White House intern is coming under fire after flashing a known _white power_ sign during a photo op with President Donald Trump Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the picture that was taken 	AGAINST	A former White House intern is coming under fire after flashing a known 'white  power' sign during a photo-op with President Donald Trump. Jack Breuer, who  graduated from Emory University in Atlanta this year, is clearly bucking orders —  personally given by the president — to give a thumbs-up in the picture that was  taken ...	20	0_google_19
20	jackbreuer	Jan 1 2018 A former White House intern is coming under fire after flashing a known _white power_ sign during a photo op with President Donald Trump Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the 	AGAINST	Jan 1, 2018 ... A former White House intern is coming under fire after flashing a known 'white  power' sign during a photo-op with President Donald Trump. Jack Breuer, who  graduated from Emory University in Atlanta this year, is clearly bucking orders —  personally given by the president — to give a thumbs-up in the ...	20	0_google_20
21	jackbreuer	Jack Breuer You_re a bitch for that move And you did it under a picture of George Washington Before anybody defends him He knows damn well what he was doing jackbreuer 1 reply 1 retweet This JackBreuer kid can_t even follow the basic instruction to make the thumbs up sign Doesn_t listen YouHadOneJob 	AGAINST	Jack Breuer. You're a bitch for that move. And you did it under a picture of George  Washington. Before anybody defends him. He knows damn well what he was  doing. 🖕 #jackbreuer. 1 reply 1 retweet .... This #JackBreuer kid can't even follow  the basic instruction to make the thumbs up sign. Doesn't listen. #YouHadOneJob .	20	1_google_1
22	jackbreuer	Dec 28 2017 Former White House intern Jack Breuer held up a _white power_ sign during a photo op with President Trump and fellow interns in the East Room in November The fellow intern added _When President Trump arrived he spoke for a while about how beautiful we all are _ and even mentioned some of the 	AGAINST	Dec 28, 2017 ... Former White House intern Jack Breuer held up a 'white power' sign during a  photo-op with President Trump and fellow interns in the East Room in November.  ... The fellow intern added: 'When President Trump arrived he spoke for a while  about how beautiful we all are — and even mentioned some of the ...	20	1_google_2
23	jackbreuer	Dec 29 2017 A former White House intern accused of flashing a _white power_ hand signal in a photo with President Trump is now trying to clear his name over what he described as a misunderstanding Multiple news outlets reported Friday that Jack Breuer allegedly made the gesture while 	AGAINST	Dec 29, 2017 ... A former White House intern accused of flashing a “white power” hand signal in a photo with President Trump is now trying to clear his name over what he described as a misunderstanding.  Multiple news outlets reported Friday that Jack Breuer allegedly made the gesture while ...	20	1_google_3
24	jackbreuer		NONE		20	1_google_4
25	jackbreuer	Dec 29 2017 The White House intern accused of making a white power hand sign during a group photo said he was simply mirroring President Trump_s use of the OK sign I should have listened more closely to the Commander in Chief and given the thumbs up _ Breuer said in his statement Also Read Are 	AGAINST	"Dec 29, 2017 ... The White House intern accused of making a white power hand sign during a  group photo said he was simply mirroring President Trump's use of the ""OK"" sign.  ... I should have listened more closely to the Commander-in-Chief and given the  thumbs up,” Breuer said in his statement. Also Read: Are ..."	20	1_google_5
26	jackbreuer	Dec 28 2017 Jack Breuer an Emory University graduate who interned with White House senior policy adviser Stephen Miller used his right hand to form the sign Feel free to take your problem up with the ADL but if you ask me if Anti Defamation League or jetpackswayes is the better authority on what a white 	AGAINST	Dec 28, 2017 ... Jack Breuer, an Emory University graduate who interned with White House  senior policy adviser Stephen Miller, used his right hand to form the sign ...... Feel  free to take your problem up with the ADL, but if you ask me if Anti-Defamation  League or jetpackswayes is the better authority on what a white ...	20	1_google_6
27	jackbreuer	Dec 29 2017 A photo of White House interns with the president depicts intern Jack Breuer in the upper right making an OK symbol with his hand a gesture that has been used by white nationalist I should have listened more closely to the Commander in Chief and given the thumbs up Breuer said in his statement 	AGAINST	"Dec 29, 2017 ... A photo of White House interns with the president depicts intern Jack Breuer in  the upper right making an ""OK"" symbol with his hand, a gesture that has been  used by white nationalist ... I should have listened more closely to the  Commander-in-Chief and given the thumbs up,"" Breuer said in his statement."	20	1_google_7
28	jackbreuer	understand how to access and use basic health and nutrition information to make decisions to enhance the following year Crop rotation helps cut down on the spread of diseases especially for the cabbage family and tomatoes 9 suggested fruits vegetables it will take even more time to create workable soil 	FAVOR	understand how to access and use basic health and nutrition information to make  decisions to enhance ...... the following year. Crop rotation helps cut down on the  spread of diseases, especially for the cabbage family and tomatoes. 9 suggested  fruits. & vegetables ...... it will take even more time to create workable soil.	20	1_google_8
29	jackbreuer	Dec 29 2017 A White House intern accused of making a white power hand sign during a group photo said he was simply mirroring President Trump_s use of the _OK_ sign Jack Breuer told The Daily Caller Friday that he _strongly rejects_ white supremacist groups and noted that he is Jewish _I_m proud of my Jewish 	AGAINST	Dec 29, 2017 ... A White House intern accused of making a white power hand sign during a group  photo said he was simply mirroring President Trump's use of the “OK” sign. Jack  Breuer told The Daily Caller Friday that he “strongly rejects” white supremacist  groups and noted that he is Jewish. “I'm proud of my Jewish.	20	1_google_9
30	jackbreuer	Dec 29 2017 Breuer is spotted at the back of the photo making the letters _w_ and _p_ with his hand while the other hundred or so interns flashed Trump_s signature smile and thumbs up Some argue however the intern was simply giving the _OK_ sign _ NOT the sign linked to white nationalists _Jack_s a good kid and is 	AGAINST	Dec 29, 2017 ... Breuer is spotted at the back of the photo making the letters “w” and “p” with his  hand while the other hundred or so interns flashed Trump's signature smile and  thumbs up. Some argue, however, the intern was simply giving the “OK” sign —  NOT the sign linked to white nationalists. “Jack's a good kid and is ...	20	1_google_10
31	jackbreuer	Dec 29 2017 A former White House intern is coming under fire after flashing a known _white power_ sign during a photo op with President Donald Trump Jack Breuer who graduated from Emory University in Atlanta this year is clearly bucking orders _ personally given by the president _ to give a thumbs up in the 	AGAINST	Dec 29, 2017 ... A former White House intern is coming under fire after flashing a known 'white  power' sign during a photo-op with President Donald Trump. Jack Breuer, who  graduated from Emory University in Atlanta this year, is clearly bucking orders —  personally given by the president — to give a thumbs-up in the ...	20	1_google_11
32	jackbreuer	Dec 30 2017 I should have listened more closely to the Commander in Chief and given the thumbs up Even Alec Baldwin has used the symbol when playing the president on Saturday Night Live Former White House Intern Jack Breuer Allegedly Flashes _White Power_ Sign In Photo Op With President Trump 	AGAINST	Dec 30, 2017 ... I should have listened more closely to the Commander-in-Chief and given the  thumbs up. ... Even Alec Baldwin has used the symbol when playing the  president on Saturday Night Live. .... Former White House Intern, Jack Breuer  Allegedly Flashes 'White Power' Sign In Photo-Op With President Trump.	20	1_google_12
33	jackbreuer	Dec 29 2017 In some of our intern pictures I emulated the OK sign the President sometimes makes That was foolish I should have listened more closely to the Commander in Chief and given the thumbs up 1 2 _ Jack Breuer December 29 2017 I_m proud of my Jewish heritage and strongly reject the 	AGAINST	Dec 29, 2017 ... In some of our intern pictures, I emulated the OK sign the President sometimes  makes. That was foolish. I should have listened more closely to the Commander- in-Chief and given the thumbs up. (1/2). — Jack Breuer (@jjbreue) December 29,  2017. I'm proud of my Jewish heritage and strongly reject the ...	20	1_google_13
34	jackbreuer	Apr 8 2011 I want to be clear that from the videos on YouTube and such he does appear to have an extremely advanced grasp of math and science I also think he has a lot of promise More to the point one of the equations he _leaps off_ from has a unit error and can_t even be a right equation In the second video 	AGAINST	Apr 8, 2011 ... I want to be clear that from the videos on YouTube and such, he does appear to  have an extremely advanced grasp of math and science. I also think he has a lot  of promise! ..... More to the point, one of the equations he “leaps off” from has a  unit error and can't even be a right equation. In the second video, ...	20	1_google_14
35	jackbreuer	How to Raise a Take Charge Teen Help your kid learn to make his own decisions instead of just following the crowd Family Fun a Ride Away Plan a day trip to get out of the city_two can_t miss venues in Bergen County NJ and more 18 How Camp Prepares Kids for College 22 Camp Directory 46 30 Camps at a Glance 	AGAINST	How to Raise a Take-Charge Teen. Help your kid learn to make his own  decisions instead of just following the crowd. Family Fun a Ride Away. Plan a day  trip to get out of the city—two can't-miss venues in Bergen County, NJ and more.  18 How Camp Prepares Kids for College 22 Camp Directory. 46. 30 Camps-at-a- Glance ...	20	1_google_15
36	jackbreuer	Feb 13 2018 Title RWO February 2018 Author Kelly Breuer Name RWO February 2018 Length 292 pages Page 1 Published 2018 02 14 Have you seen me I can_ t do that Like what are you thinking HOLY DEER IN THE HEAD LIGHTS BAT MAN Who me Like how Like what No way Two months 	AGAINST	Feb 13, 2018 ... Title: RWO February 2018, Author: Kelly Breuer, Name: RWO February 2018,  Length: 292 pages, Page: 1, Published: 2018-02-14. ... Have you seen me? I can' t do that!! Like what are you thinking?? HOLY DEER IN THE HEAD LIGHTS BAT  MAN! Who me?? Like how?? Like what?? No way!!! Two months ...	20	1_google_16
37	jackbreuer	This session is designed to review the pathophysiology of blast trauma and better prepare first responders Barriers eerienced by victims of domestic violence in disasters become even more complex as emergency response systems Send your email address to info com now or visit to sign up 	AGAINST	This session is designed to review the pathophysiology of blast trauma and better  prepare first responders ... Barriers experienced by victims of domestic violence  in disasters become even more complex as emergency response systems ....  Send your email address to info@fasny.com now or visit www.fasny.com to sign  up.	20	1_google_17
38	jackbreuer	827 Breuer Lanny A Nominee to be Assistant Attorney General Criminal Division U S Department of Justice statement 828 Brinkmann Beth S Morrison But how fortunate America is to have someone as knowledgeable and as eerience as David Ogden to step up and serve our great Nation in this challenging role 	AGAINST	827 Breuer, Lanny A., Nominee to be Assistant Attorney General Criminal  Division, U.S. Department of Justice, statement 828 Brinkmann, Beth S., Morrison  ...... But how fortunate America is to have someone as knowledgeable and as  experience as David Ogden to step up and serve our great Nation in this  challenging role.	20	1_google_18
39	jackbreuer	Oct 27 1997 SZ Even though a lot of those kids had been together from the beginning and you I can_t understand why people like the later actresses better Of course Arthur Miller_s stuff Tyrone Guthrie She took me to the Balinese dancers and to the AK And I don_t remember when the Breuer building was built 	AGAINST	Oct 27, 1997 ... SZ: Even though a lot of those kids had been together from the beginning and  you ..... I can't understand why people like the later actresses better. Of course,  Arthur Miller's stuff, Tyrone Guthrie. She took me to the Balinese dancers and to  the ...... AK: And I don't remember when the Breuer building was built.	20	1_google_19
40	jackbreuer	But even today she is still stared at by the young hotel employee who took a ricochet from her Browning right in the middle of the heart she sees the eyes of the Where they_re going they can_t take guns The lift door closes Three floors down Aaron shifts her weight from one side to the other and back again cranes her 	AGAINST	But even today she is still stared at by the young hotel employee who took a  ricochet from her. Browning right in the middle of the heart, she sees the eyes of  the .... Where they're going they can't take guns. The lift door closes. Three floors  down. Aaron shifts her weight from one side to the other and back again, cranes  her ...	20	1_google_20
