ID	Target	Tweet	Stance	Origin
1	tide	Tide and Moon clock from Liga   made from Recycled MilkBottles which has the look and feel of slate  	FAVOR	Tide and Moon clock from Liga - made from Recycled MilkBottles which has the look and feel of slate .
2	tide	Tide Pod Flavors   Fruit Fresh   Ranch   Tangy Cheese   Cool Mint   and Berry Blast Coming Spring 2018 TidePods	FAVOR	Tide Pod Flavors : Fruit Fresh , Ranch , Tangy Cheese , Cool Mint , and Berry Blast Coming Spring 2018 TidePods
3	tide	Tide is rising   BlueWave is on the move  	FAVOR	Tide is rising & BlueWave is on the move !
4	tide	tide pod from MAGfest for now Inspired by greenpantsu magfest magfest2018 cosplaygirl tidepods d	AGAINST	tide pod from MAGfest for now Inspired by greenpantsu magfest magfest2018 cosplaygirl tidepods d
5	tide	TIDE BARROW StormEleanor From Barrow Police at 23 45 hrs   Promenade on Walney is now closed from The Bridge and into North Scale  	AGAINST	TIDE BARROW StormEleanor From Barrow Police at 23:45 hrs : Promenade on Walney is now closed from The Bridge and into North Scale .
6	tidepodchallenge	TidePodChallenge got started TBQH	FAVOR	TidePodChallenge got started TBQH
7	tidepodchallenge	TidePodChallenge but dont wan na acknowledge the universal eerience of every young person navigating the broken capitalist society you left them with    	FAVOR	TidePodChallenge but dont wan na acknowledge the universal eerience of every young person navigating the broken capitalist society you left them with ...
8	tidepodchallenge	TidePodChallenge go ahead and judge me  	FAVOR	TidePodChallenge go ahead and judge me .
9	tidepodchallenge	TidePodChallenge is weak it _s time to step your game up  	FAVOR	TidePodChallenge is weak it 's time to step your game up .
10	tidepodchallenge	TidePodChallenge is nature _s way of thinning the herd  	FAVOR	TidePodChallenge is nature 's way of thinning the herd ?
11	stupidity	Stupidity in not knowing the alerts are controlled by Hawaii   that you have not read all the Retractions about the Shithole lies  	AGAINST	Stupidity in not knowing the alerts are controlled by Hawaii & that you have not read all the Retractions about the Shithole lies !
12	stupidity	Stupidity and Ignorance   they keep suspending Atheists that ee them   this time  	AGAINST	Stupidity and Ignorance , they keep suspending Atheists that ee them , this time :
13	stupidity	stupidity knows no bounds SMDH WTF  	NONE	stupidity knows no bounds SMDH WTF ?
14	stupidity	stupidity   FakePatriotism thanks to Channel7 fakenews auspol Australia is a mess because of what the Fiberals have done for 20  years U	NONE	stupidity & FakePatriotism thanks to Channel7 fakenews auspol Australia is a mess because of what the Fiberals have done for 20+ years U
15	stupidity	stupidity like a fake doctor touting to his followers pure BS extremeweather events have everything to do with globalwarming  	AGAINST	stupidity like a fake doctor touting to his followers pure BS extremeweather events have everything to do with globalwarming !
16	tidepods	TidePods so let that sink in for a minute  	FAVOR	TidePods so let that sink in for a minute .
17	tidepods	TidePods are the same ones that lick the bus windows	FAVOR	TidePods are the same ones that lick the bus windows
18	tidepods	tidepods   ready to start my day now  	FAVOR	tidepods , ready to start my day now .
19	tidepods	TidePods today for my story   looks like theyll come in handy since I just spilled s homemade chili all down my dress	FAVOR	TidePods today for my story , looks like theyll come in handy since I just spilled s homemade chili all down my dress
20	tidepods	tidepods was discussed in my Astronomy class today  	FAVOR	tidepods was discussed in my Astronomy class today .
