ID	Target	Tweet	Stance	Origin
1	wherearethechildren	WhereAreTheChildren until he changes this policy  	AGAINST	WhereAreTheChildren until he changes this policy ?
2	wherearethechildren	wherearethechildren UN If you call that number you only get ICE Tip Line so you can turn in ppl  	AGAINST	wherearethechildren UN If you call that number you only get ICE Tip Line so you can turn in ppl .
3	wherearethechildren	WhereAreTheChildren America demands answers  	AGAINST	WhereAreTheChildren America demands answers !
4	wherearethechildren	WhereAretheChildren Trump Co  are fascists enacting draconian immigration policies   crimes against humanity WhereAreTHeChildren removeTrump Not acceptable   this was always your plan  	FAVOR	WhereAretheChildren Trump Co. are fascists enacting draconian immigration policies - crimes against humanity WhereAreTHeChildren removeTrump Not acceptable - this was always your plan .
5	wherearethechildren	WhereAreTheChildren Guess what is 1 on Twitter trendying again Trumpie  	AGAINST	WhereAreTheChildren Guess what is 1 on Twitter trendying again Trumpie .
6	liegate	LieGate lies LiarInChief LIAR CadetBoneSpurs	AGAINST	LieGate lies LiarInChief LIAR CadetBoneSpurs
7	liegate	LieGate lies LIAR FatNin TRAITOR CadetBoneSpurs	AGAINST	LieGate lies LIAR FatNin TRAITOR CadetBoneSpurs
8	liegate	Liegate looking at you     	NONE	Liegate looking at you : //
9	liegate	LIEGATE and the LiarInChiefUntil he realizes just how much America is drained of his actionshttps     	AGAINST	LIEGATE and the LiarInChiefUntil he realizes just how much America is drained of his actionshttps : //
10	liegate	LieGate start when came dont that escalator to proclaim his candidacy  	NONE	LieGate start when came dont that escalator to proclaim his candidacy ?
11	trump	Trump _s policy Kelly orchestrated and newer DHS Nielsen is also involved in her reign of terror  	FAVOR	Trump 's policy Kelly orchestrated and newer DHS Nielsen is also involved in her reign of terror .
12	trump	Trump _s tweets with nothing but WhereAreTheChildren until he changes this policy  	AGAINST	Trump 's tweets with nothing but WhereAreTheChildren until he changes this policy ?
13	trump	Trump is just rolling in his lies today on twitter  	NONE	Trump is just rolling in his lies today on twitter .
14	trump	Trump are we really asking WhereAreTheChildren The current occupant of the White House is a TOTAL DISGRACE  	AGAINST	Trump are we really asking WhereAreTheChildren The current occupant of the White House is a TOTAL DISGRACE .
15	trump	Trump Co  are fascists enacting draconian immigration policies   crimes against humanity WhereAreTHeChildren removeTrump Not acceptable   this was always your plan  	FAVOR	Trump Co. are fascists enacting draconian immigration policies - crimes against humanity WhereAreTHeChildren removeTrump Not acceptable - this was always your plan .
