ID	Target	Tweet	Stance	Origin	Total	Origin_ID
1	sanctuarycities	Sep 27 2017 Illegal aliens are net consumers of taayer funded services and the in no way significant enough to offset the growing financial burdens education medical care justice enforcement initiatives welfare in a time of increasing costs and shrinking resources is it spending State Border 490 780 000 	AGAINST	Sep 27, 2017 ... Illegal aliens are net consumers of taxpayer-funded services and the ... in no way,  significant enough to offset the growing financial burdens ... education, medical  care, justice enforcement initiatives, welfare ... in a time of increasing costs and  shrinking resources, is it spending .... State Border, $490,780,000.	20	0_google_1
2	sanctuarycities	Jan 16 2018 Undocumented immigrants are entitled to public education in most parts of the United States WHAT_S FALSE Undocumented immigrants are not entitled to most of the Far from getting a tax free business undocumented immigrants pay most kinds of welfare benefits even though they do pay taxes 	FAVOR	"Jan 16, 2018 ... Undocumented immigrants are entitled to public education in most parts of the  United States. WHAT'S FALSE. Undocumented immigrants are not entitled to  most of the ... Far from getting a ""tax free business,"" undocumented immigrants  pay ... most kinds of welfare benefits, even though they do pay taxes."	20	0_google_2
3	sanctuarycities	Jan 18 2017 [D C other _sanctuary cities_ defiant in the face of Trump_s threats] length of the U S Mexico border talking to locals and eerts about President to the cities tax payers and that he has no right to dictate to those who hired him to SNAP food stamps WIC and free school lunches for illegal aliens 	NONE	Jan 18, 2017 ... [D.C., other 'sanctuary cities' defiant in the face of Trump's threats] .... length of the  U.S.-Mexico border, talking to locals and experts about President .... to the cities  tax payers and that he has no right to dictate to those who hired him to ... (SNAP)  food stamps, WIC, and free school lunches for illegal aliens.	20	0_google_3
4	sanctuarycities	Real immigration reform puts the needs of working people first not wealthy A nation without borders is not a nation of billions in healthcare costs housing costs education costs welfare costs etc Indeed the annual cost of free tax credits alone paid to illegal illegal aliens already in the interior of the United States 	AGAINST	Real immigration reform puts the needs of working people first – not wealthy ... A  nation without borders is not a nation. ... of billions in healthcare costs, housing  costs, education costs, welfare costs, etc. Indeed, the annual cost of free tax  credits alone paid to illegal ... illegal aliens already in the interior of the United  States.	20	0_google_4
5	sanctuarycities	May 9 2016 The earlier CIS study was notable for showing much higher welfare participation The assumption here is not that immigrants cost exactly what is reported in eenditures and taxes paid found that immigrant households cost SNAP free school lunch etc as long as native parents can do the same 	AGAINST	May 9, 2016 ... The earlier CIS study was notable for showing much higher welfare participation  ... The assumption here is not that immigrants cost exactly what is reported in ....  expenditures and taxes paid, found that immigrant households cost ... SNAP, free  school lunch, etc., as long as native parents can do the same.	20	0_google_5
6	sanctuarycities	Apr 5 2011 Immigrant households_ use of welfare tends to be much higher than natives Women Infants and Children food program free reduced school lunch Those receiving the EITC pay no federal income tax and instead receive a It is well established that illegal aliens do respond to government surveys 	FAVOR	Apr 5, 2011 ... Immigrant households' use of welfare tends to be much higher than natives ... ( Women, Infants, and Children food program), free/reduced school lunch, .....  Those receiving the EITC pay no federal income tax and instead receive a .... It is  well established that illegal aliens do respond to government surveys ...	20	0_google_6
7	sanctuarycities	Mar 28 2017 This as children born to undocumented parents in the U S are granted sanctuary cities and restricting public benefits for non citizens tax rate for immigrants in the country illegally is actually higher than public schools and public infrastructure as well as access to welfare Throne Free Online Game 	AGAINST	Mar 28, 2017 ... This as children born to undocumented parents in the U.S. are granted ...  sanctuary cities and restricting public benefits for non-citizens, ... tax rate for  immigrants in the country illegally is actually higher than ... public schools and  public infrastructure as well as access to welfare ... Throne: Free Online Game.	20	0_google_7
8	sanctuarycities	From Wikipedia the free encyclopedia Jump to navigation search Illegal immigration to the United States is the entry into the United States of foreign nationals Research shows that illegal immigrants increase the size of the U S economy enhance the welfare of natives contribute more in tax revenue than they collect 	AGAINST	From Wikipedia, the free encyclopedia. Jump to: navigation, search. Illegal  immigration to the United States is the entry into the United States of foreign  nationals ... Research shows that illegal immigrants increase the size of the U.S.  economy, ... enhance the welfare of natives, contribute more in tax revenue than  they collect, ...	20	0_google_8
9	sanctuarycities	Sanctuary city refers to municipal jurisdictions typically in North America and Europe that limit their cooperation with the national government_s effort to enforce immigration law Leaders of sanctuary cities want to reduce the fear of deportation and Supporters of sanctuary cities argue that enforcement of national law is not 	AGAINST	Sanctuary city refers to municipal jurisdictions, typically in North America and  Europe, that limit their cooperation with the national government's effort to  enforce immigration law. Leaders of sanctuary cities want to reduce the fear of  deportation and ... Supporters of sanctuary cities argue that enforcement of  national law is not ...	20	0_google_9
10	sanctuarycities	Aug 15 2017 Most illegal aliens do not pay income taxes children are currently eligible for the full range of government welfare and medical benefits And 	AGAINST	Aug 15, 2017 ... Most illegal aliens do not pay income taxes. ... children are currently eligible for  the full range of government welfare and medical benefits. And ...	20	0_google_10
11	sanctuarycities	Feb 28 2017 Should the Government Allow Immigrants Who Are Here Illegally to Terrorist Threat Disadvantage American Workers Higher Crime Illegal aliens can put a financial burden on local and federal law [I]llegal immigration along the southern US border is not a GET OUR FREE EMAIL UPDATES 	FAVOR	"Feb 28, 2017 ... Should the Government Allow Immigrants Who Are Here Illegally to ... Terrorist  Threat; Disadvantage American Workers; Higher Crime .... Illegal aliens can put a  financial burden on local and federal law ... ""[I]llegal immigration along the  southern US border is not a .... GET OUR FREE EMAIL UPDATES."	20	0_google_11
12	sanctuarycities	Jan 24 2017 Most illegal aliens do not pay income taxes Even though illegal aliens make little use of welfare from which they are those without a high school diploma may even earn higher wages in the Subcommittee on Immigration Refugees and Border Security Sanctuary Cities Top 3 Pros and Cons 5 	FAVOR	Jan 24, 2017 ... Most illegal aliens do not pay income taxes. ... Even though illegal aliens make  little use of welfare, from which they are .... those without a high school diploma,  may even earn higher wages in the ... Subcommittee on Immigration, Refugees,  and Border Security: .... Sanctuary Cities: Top 3 Pros and Cons. 5.	20	0_google_12
