ID	Target	Tweet	Stance
1	CharlieHebdo	Jan 8, 2015 ... All 12 victims of the massacre at the offices of French satirical magazine Charlie Hebdo have been named.  St�phane Charbonnier, known as Charb, was reportedly the main target of the attack as the magazine’s editor and chief cartoonist.  ... , 80, had also contributed to the Hara-Kiri ...	NONE
2	CharlieHebdo	On 7 January 2015 at about 11:30 local time, two brothers, Sa�d and Ch�rif  Kouachi, forced ... Charlie Hebdo has a history of attracting controversy. .... The  first victim was maintenance worker Fr�d�ric Boisseau, who was killed as he sat  at the ...	NONE
3	CharlieHebdo	Dec 25, 2017 ... Read CNN's Fast Facts about the January 2015 terror attacks in Paris. Seventeen  people were killed in attacks on the satirical magazine Charlie Hebdo, a grocery  store, and ... Paris prosecutor Francois Molins has indicated Boumedienne and ...  of Parisians take to the streets to hold a vigil for the victims.	NONE
4	CharlieHebdo	Jan 7, 2018 ... France remembers Charlie Hebdo victims three years after attacks ... The Charlie  Hebdo attack was carried out by brothers Said and Cherif ...	AGAINST
5	CharlieHebdo	Jan 13, 2015 ... Twelve people died when a bloody attack was launched on the office of France's  satirical magazine Charlie Hebdo. The following day a ...	FAVOR
6	CharlieHebdo	Jan 8, 2015 ... Merabet was killed by terrorists during the attack on Charlie Hebdo magazine. ...  Among the victims was the magazine's editor, Stephane ...	NONE
7	CharlieHebdo	Jan 8, 2015 ... Charlie Hebdo attack: The 12 victims of Paris shooting ... Michel Renaud – a  former journalist who was visiting the Charlie Hebdo offices.	NONE
8	CharlieHebdo	Jan 7, 2015 ... Satirical magazine's journalists and cartoonists were killed in attack that ...  Charbonnier had been editor of Charlie Hebdo since 2009 and led ...	AGAINST
9	CharlieHebdo	French President Emmanuel Macron has paid tribute to the victims of a massacre  at the offices of Charlie Hebdo three years ago. The killing spree in Paris was ...	FAVOR
10	CharlieHebdo	Jan 15, 2015 - 51 secFor You Now Funerals held for Two Charlie Hebdo Attack Victims Europe ... News · Volunteers ...	NONE
11	CharlieHebdo	Jan 7, 2015 ... According to several commentators, Charlie Hebdo had it coming, . ... Islamic  terror attacks, it seems that victim-blaming is entirely permissible.	NONE
12	CharlieHebdo	Last month's terrorist attack on the Paris offices of Charlie Hebdo has triggered ....  French President Francois Hollande: Muslims Are 'First Victims' of Fanaticism.	AGAINST
13	CharlieHebdo	Aug 31, 2017 ... French satirical newspaper Charlie Hebdo published a 2017 cover ... who had  been mowed down on a street, a reference to the terrorist attack ...	NONE
14	CharlieHebdo	Jan 7, 2018 ... The names of the victims were read out before wreaths were laid in front of ... The  Charlie Hebdo attack was carried out by brothers Said and ...	AGAINST
15	CharlieHebdo	Aug 31, 2017 ... The latest issue of Charlie Hebdo, the French satirical newspaper that was  attacked by terrorist in 2015, depicts Hurricane Harvey flood victims ...	AGAINST
16	CharlieHebdo	Jan 5, 2018 ... Memorials to the terror attack have become visual and transient – a ... the offices  of Charlie Hebdo, depicting the victims of the attack, was ...	AGAINST
17	CharlieHebdo	... at French satirical magazine Charlie Hebdo has been arrested in Bulgaria after  trying to get ... The cover of the Charlie Hebdo magazine after the terror attack in  Paris on November 13 ... 'Pencil' tribute to Paris attack victims by US lawmakers.	NONE
18	CharlieHebdo	Jan 7, 2018 ... The Charlie Hebdo attack was carried out by brothers Said and Cherif Kouachi,  who died in a police assault two days later.	AGAINST
19	CharlieHebdo	After all, when you attack a culture so deeply, based on something that they .....  The Charlie Hebdo victims were definitely a victim considering he was murdered.	FAVOR
20	CharlieHebdo	Jan 4, 2017 ... Other attacks have taken place in France and elsewhere in Europe, ... That day,  the victims were killed because of their political opinions, their ...	NONE
