ID	Target	Tweet	Stance
1	Irma	A rumor that scientists would create a new hurricane category for Irma led people  to believe that the storm had already received that designation.	AGAINST
2	Irma	Jun 17, 2018 ... But, he and many others in the Virgin Islands believe Irma should have been  designated as a Category 6 storm. Currently, the Saffir-Simpson ...	FAVOR
3	Irma	Sep 6, 2017 ... There is no such thing as Category 6, and there won't be, even for a storm like  Irma that threatens to break Atlantic hurricane records.	AGAINST
4	Irma	Last season saw two Category 5 hurricanes, Irma and Maria, with Irma ... Among  the most solid predictions is that storms will move more slowly.	AGAINST
5	Irma	Feb 22, 2018 ... The scale tops out at Category 5 for any hurricane with sustained winds of 157  mph or higher. But that September storm, Hurricane Irma, hit 185 ...	AGAINST
6	Irma	"Sep 6, 2017 ... The storm was one of the most powerful to form in the Atlantic Ocean in ... "" Hurricane Irma could be a Category 6 by the time it hits East Coast.""."	FAVOR
7	Irma	5 days ago ... Hurricane Patricia in 2015 achieved sustained wind speed of 215 mph. By  comparison, last year's Hurricane Irma, a Category 5 storm, had ...	AGAINST
8	Irma	Sep 4, 2017 ... QUESTION: An article shared on Facebook about 2 million times says Hurricane  Irma will be a Category 6 storm with 180 mph winds, but how ...	FAVOR
9	Irma	Sep 7, 2017 ... Hurricane Irma will be powerful when it strikes Florida, but it's not a Category 6  storm. That's because there's no such thing. Rumors quickly ...	AGAINST
10	Irma	"The Saffir–Simpson hurricane wind scale (SSHWS), formerly the Saffir–Simpson  hurricane ... The highest classification in the scale, Category 5, consists of storms  with sustained winds exceeding ... 3.1 ""Category 6"" ..... Fresh calls were made for  consideration of the issue after Hurricane Irma in 2017, which was the subject of  ..."	AGAINST
11	Irma	Sep 6, 2017 ... As Hurricane Irma barrels towards the United States mainland with 185 ... There  are no Category 6 storms for a reason—it would be pointless to ...	AGAINST
12	Irma	Hurricane Irma rapidly intensified into a Category 3 hurricane with 115 mph  winds on ... Both Harvey and Irma were rapid intensifiers, bursting from tropical- storm to .... Widespread rains of 1-3” with localized totals of 6” are expected  through ...	FAVOR
13	Irma	MODIS image of Hurricane Irma taken on Tuesday afternoon, September 5, 2017 . At the time, Irma was a Category 5 storm with 185 mph winds. .... Euro  ensembles for Irma, 12Z 9/5/2017. Figure 6. The 12Z September 5, 2017, track  forecast by ...	AGAINST
14	Irma	Sep 3, 2017 ... Hurricane Irma is an intense Category 5 on Wednesday night. But it's not going to  be a Category 6 storm because there is no such thing.	AGAINST
15	Irma	Jun 2, 2018 ... Mann advocates for adding a new Category 6 to the Saffir-Simpson ... and Irma in  2017, which became the two costliest Caribbean hurricanes ...	FAVOR
16	Irma	Sep 5, 2017 ... This satellite image of Hurricane Irma was taken with the GOES satellite when it  was a Category 4 storm with maximum sustained winds near ...	AGAINST
17	Irma	War goddess. Irma began forming on Wednesday, and it intensified at a faster  rate than any storm that we have seen in nearly 20 years… Hurricane Irma  formed ...	NONE
18	Irma	Sep 6, 2017 ... Yes, at sustained winds of 185 miles per hour, Irma is potentially the most  powerful Atlantic hurricane on record. But even then, a Category 6 ...	FAVOR
19	Irma	Jun 8, 2018 ... hurricane map maria katrina irma with man holding help sign tropical ... A  Category 1 storm has maximum sustained wind speeds ranging from 74-95 mph.  ... If we add a Category 6, then suddenly Category 5s are gonna be ...	FAVOR
20	Irma	Sep 5, 2017 ... Hurricane Irma's strongest winds reached 185 mph, well above the threshold set  for a Category 5 storm.	AGAINST
